NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
"CHICAGO, CITY OF GENERAL SVCS",5555 W GRAND,0,0,0
"CHICAGO, CITY OF JEFFERSON STA",2250 W EASTWOOD,0,0,0
"CHICAGO, CITY OF, LEXINGTON PUMPING STATION",5555 W LEXINGTON,0,0,0
"CHICAGO, UNIV OF",5355 S BLACKSTONE AVE,0,0,0
CHICAGO-200RAND (MICROSOFT),"200 EAST RANDOLPH STREET, SUITE 200",0,0,0
CHICAGOS DISCOUNT CLEANERS,1333 W FULLERTON,0,0,0
CHILDRENS MEMORIAL HOSPITAL,2300 N CHILDRENS PLAZA,0,0,0
CHILDRENS RESEARCH TRIANGLE,180 N MICHIGAN AVE STE 700,0,0,0
CHIPPEWA PARK,6748 N SACRAMENTO AVE,0,0,0
CHOPIN ELEMENTARY SCHOOL,2450 W RICE,0,0,0
CHRIS BODY SHOP,1149 N LAMON,0,0,0
CHRISTIAN MOTORS INC,3403 S LAWNDALE AVE,0,0,0
CHRISTIANA MOTORS INC DBA ALL MAKES AUTO REBUILDERS,5038 S CHRISTIANA AVE,0,0,0
CHRISTY WEBBER LANDSCAPES,2900 W FERDINAND ST,0,0,0
CHROMIUM INDUSTRIES LLC,4645 W. CHICAGO AVE.,12,1,0
CHUNGS AUTOBODY,4444 N KEDZIE,0,0,0
CICERO AVE RESALE CO,4800 S CICERO AVE,0,0,0
CIRCLE CENER CLEANERS,1431 W ROOSVELT RD,0,0,0
"CIRCLE DELIVERY SERVICE, INC.",2000 WEST 32ND STREET,0,0,0
CIRCLE K,1605 N WESTERN AVE,NA,1,0
CIRCLE K #6730,350 W CHICAGO AVE,NA,1,0
CIRCLE K 6711 AKA SHELL,801 W ADDISON,0,0,0
CIRCLE K 6735,1160 W DIVERSEY PKWY,0,0,0
CIRCLE K 6765 AKA SHELL,1160 W VAN BUREN ST,0,1,0
CIRCLE K 6782,5500 S PULASKI,0,0,0
CIRCLE K 6788 AKA SHELL,1001 W JACKSON BLVD,0,1,0
CIRCLE K 6803 AKA SHELL,5701 N BROADWAY,0,0,0
CIRCLE K 6838,1611 E 95TH ST,0,0,0
CITADEL LLC,131 S DEARBORN ST,1,0,1
CITGO,3357 W HARRISON,0,0,0
CITGO,9906 S VINCENNES,0,0,0
CITGO,2338 N SACRAMENTO BLVD,0,0,0
CITGO,6700 S COTTAGE GROVE,0,0,0
CITGO,4357 W BELMONT AVE,0,0,0
CITGO,4900 W FULLERTON,0,0,0
CITGO,2700 W 51ST ST,0,0,0
CITGO,300 S CICERO,0,0,0
CITGO,8200 S KEDZIE,0,0,0
CITGO,501 W 31ST ST,NA,1,0
CITGO,3600 N ASHLAND & ADDISON,0,0,0
CITGO,8300 STONY ISLAND,0,0,0
CITGO,9454 S COTTAGE GROVE RD,0,0,0
CITGO,5616 S WESTERN,0,0,0
CITGO,734 W 111TH ST,0,0,0
CITGO,6655 S KEDZIE,0,0,0
CITGO,2844 W 47TH ST,0,0,0
CITGO,4603 N PULASKI RD,0,0,0
CITGO,4400 N CICERO & MONTROSE,0,0,0
CITGO,1958 W 47TH ST,0,0,0
CITGO,11600 S MICHIGAN,0,0,0
CITGO,2807 W 71ST ST,0,0,0
CITGO,2805 W DIVISION,0,0,0
CITGO,1840 W PETERSON,0,0,0
CITGO,5150 W CHICAGO & LARAMIE,0,0,0
CITGO,2611 N CENTRAL,0,0,0
CITGO,8106 S RACINE,0,0,0
CITGO,10655 S HALSTED,0,0,0
CITGO,2401 W DIVERSEY,0,0,0
CITGO - MIDWEST FUEL & OIL,7114 S VINCENNES,0,0,0
CITGO 509 PETROLEUM INC,5901 S ASHLAND AVE,0,0,0
CITGO 749,749 S CICERO,0,0,0
CITGO FOOD MART,721 E 103RD ST,0,0,0
CITGO FOOD MART,4300 S WENTWORTH,0,0,0
CITGO FUEL & MINI MART,1900 S PULASKI AVE,0,0,0
CITGO FUEL & MINI MART,8256 S PULASKI,0,0,0
CITGO GAS & MINI MART,1151 W 63RD ST,0,0,0
CITGO GAS & MINI MART,3759 W CHICAGO & HAMLIN,0,0,0
CITGO GAS STATION & MINI MART,2959 W FULTON ST,0,0,0
CITGO SERVICE STATION,4319 W 47TH ST,0,0,0
CITY CLEANERS,7159 S STONY ISLAND,0,1,1
CITY COLLEGES OF CHICAGO,226 W JACKSON BLVD,0,0,0
CITY HAUL INC,2150 S CANALPORT AVE UNIT 3C-14,0,0,0
CITY INTL TRUCKS,4655 S CENTRAL,0,1,0
CITY LIVING,3734 S ST LOUIS AVE,0,0,0
CITY OF CHICAGO,3746 S IRON ST,0,2,0
CITY OF CHICAGO,10420 S VINCENNES,0,0,0
CITY OF CHICAGO,4832 N AUSTIN,0,0,0
CITY OF CHICAGO (ABANDONMENT),2472 N CLYBOURN,0,0,0
CITY OF CHICAGO (ABANDONMENT),20 N STATE ST,0,0,0
CITY OF CHICAGO 2FM OPERATIONS,1150 NORTH BRANCH STREET,NA,1,0
CITY OF CHICAGO ABANDONMENT,7600 S RACINE AVE,0,0,0
CITY OF CHICAGO CLERK OFFICE,5430 W GALE ST,0,0,0
CITY OF CHICAGO DEPT OF FLEET & FACILITY MNGT,2300 W 52ND ST,0,0,0
CITY OF CHICAGO DEPT OF FLEET & FACILITY MNGT,3050 S SACRAMENTO,0,0,0
CITY OF CHICAGO DEPT OF FLEET MANAGEMENT,1701 N THROOP ST,0,0,0
CITY OF CHICAGO FLEET MGMT,1000 MONTROSE,0,0,0
CITY OF CHICAGO-DEPT WATER,8460 S KEDVALE AVE,0,0,0
CITY OF CHICAGO/ABANDONED PROPERTY,1160 N HOWE ST,0,0,0
CITY OF CHICAGO/ABANDONED PROPERTY,1200 N HALSTED ST,0,0,0
CIVIC OPERA BUILDING,20 N WACKER,0,0,1
CLARENDON COMMUNITY CTR,4501 N CLARENDON AVE,0,0,0
CLARK - FARD ONE INC,1721 S PAULINA ST,0,0,0
CLARK OIL & REFINING,3947 S KEDZIE AVE,0,0,0
CLARK OIL & REFINING,1810 W 35TH ST,0,0,0
CLASSIC CARS,4711 S WESTERN BLVD,0,0,0
CLEAN CITY CLEANERS,7260 W FOSTER AVE,0,0,0
CLEAN CLEAN DRY CLEANERS,6417 W ARCHER,0,0,0
CLEAN HARBORS,11700 S STONY ISLAND AVE,0,0,0
CLEAN HARBORS RECYCLING SERVICES OF CHICAGO LLC,1445 W 42ND ST,7,6,0
CLEAN HARBORS SERVICES INC,11800 S STONY ISLAND AVE,5,3,0
CLEANERS DEPOT,2815 N BROADWAY,0,0,0
CLEAR CHANNEL OUTDOOR,4000 S MORGAN ST,0,0,0
CLIMATEMP,1323 W CARROLL AVE,0,0,0
CLINTON COMPLEX CONDO,500 S CLINTON FLR 7,0,0,0
CLINTON ELEM SCHOOL,6110 N FAIRFIELD AV,0,0,0
CLOROX PRODUCTS,5063 S MERRIMAC AVE,0,0,0
CLOTHES PIN,3251 W MONTROSE,0,0,0
CLOVERHILL PASTRY VEND CORP.,2035 N. NARAGANSETT AVE.,1,1,0
CLYBOURN METAL FINISHING CO,2240 NORTH CLYBOURN AVENUE,0,1,0
CME GROUP INC,555 W WASHINGTON ST,0,0,0
CMX INDUSTRIES INC,660 W LAKE ST,0,0,0
COCA-COLA,1032 S PULASKI RD,0,0,0
COLD HEADERS INC,5514 N ELSTON AVE,0,0,0
COLLISION BARN,5401 N KEDZIE,0,0,0
COLLISION BOSS CHATHAM INC,7917 S VINCENNES AVE,0,0,0
COLLISION CENTERS OF AMERICA,7606 W TOUHY,0,0,0
COLLISION CENTERS OF AMERICA,3119 W COLUMBUS AVE,0,0,0
COLLISION DAMAGE EXPERTS,3555 W COLUMBUS DR,0,0,0
COLLISION REVISION,3518 W 63RD ST,0,0,0
COLLISION REVISION CHICAGO 38TH,2929 W 38TH ST,0,0,0
COLMAN SCHOOL,4655 S DEARBORN,0,0,0
COLOR COMMUNICATIONS LLC,4100 WEST FILMORE STREET,12,1,4
COLOR COMMUNICATIONS LLC,4000 WEST FILLMORE STREET,1,3,1
"COLOR COMMUNICATIONS, INC.",4242 W. FILLMORE ST.,1,1,4
COLUMBIA COLLEGE,623 S WABASH,0,0,0
COLUMBUS AUTO REBUILDERS INC,3045 W COLUMBUS AVE,0,0,0
COLUMBUS FOODS,829 N TROY,0,0,0
COLUMBUS PARK GOLF COURSE,5701 W JACKSON BLVD,0,0,0
COM ED,46TH PL & HAMLIN AVE,0,0,0
COM ED,3500 CALIFORNIA AVENUE,0,0,0
COM ED,10847 S MICHIGAN AVE,0,0,0
COM ED,5017 S DORCHESTER,0,0,0
COM ED - MANHOLE 0243022,BELMONT & HAMLIN,0,0,0
COMBINED PRINTING SPECIALTIES,2417 N WESTERN AVE,0,0,0
COMCAST OF ILLINOIS INC,5711 S WESTERN AVE,0,0,0
COMED,3536 S IRON ST,0,0,0
COMED,3888 S LOWE AVE,0,0,0
COMED,430 W HARRISON AVE,0,0,0
COMED,6909 S THROOPS,0,0,0
COMED,1010 S LARAMIE,0,0,0
COMED,6807 N SHERIDAN RD,0,0,0
COMED,707 S LASALLE ST,0,0,0
COMED (VAULT ON CROWLEY'S YACHT YARD),3434 E 95TH ST,0,0,0
COMED 426A2-56,HARRISON ST & WACKER DR,0,0,0
COMED CHICAGO TRAINING CENTER,3500 S IRON ST-B,0,0,0
COMED DCX312 NEWPORT SS,1044 W NEWPORT AVE,0,0,0
COMED DCX380,2617 N PULASKI RD,0,0,0
COMED DCY310,5043 W MADISON ST,0,0,0
COMED DCY365,2543 W MADISON ST,0,0,0
COMED DCZ335,9347 S SOUTH CHICAGO AVE,0,0,0
COMED DSS750,4243 W GRAND AVE,0,0,0
COMED ESSY542,4115 W OGDEN AVE-D,0,0,0
COMED ESSZ475,3435 E 95TH ST,0,0,0
COMED ESSZ506,8701 S MACKINAW AVE,0,0,0
COMED ESSZ509-2A,5600 S ELLIS AVE,0,0,0
COMED FORD CITY SS,4601 W 72ND ST,0,0,0
COMED LOOP TECH REGION,200 N OGDEN AVE,0,0,0
COMED MANHOLE #387210,65 E WACKER DR,0,0,0
COMED MANHOLE 0196102,4120 N BROADWAY,0,0,0
COMED MANHOLE 0206038,4256 W IRVING PARK RD,0,0,0
COMED MANHOLE 0227053,3036 W ADDISON ST,0,0,0
COMED MANHOLE 0249010,NELSON & SOUTHPORT ST,0,0,0
COMED MANHOLE 0271003,NORDICA & GRAND AVE,0,0,0
COMED MANHOLE 0346011,100 W DELAWARE PLACE,0,0,0
COMED MANHOLE 0367265,74 E ONTARIO ST,0,0,0
COMED MANHOLE 0517002,SOUTH HAMLIN AVE & W 32ND ST,0,0,0
COMED MANHOLE 406686,321 S FINANCIAL,0,0,0
COMED MANHOLE 407705,DEARBORN & HARRISON,0,0,0
COMED MANHOLE 426-042/426/-134,HARRISON & LSSALLE,0,0,0
COMED MANHOLE 709071,STATE ST & W 64TH ST,0,0,0
COMED NEWPORT SS,3435 N SEMINARY,0,0,0
COMED NORWOOD SS,5837 S NAGLE AVE,0,0,0
COMED S WENTWORTH AVE ROW,S WENTWORTH AVE N OF 18TH ST,0,0,0
COMED S5796,10 E LAKE ST,0,0,0
COMED SS603 LAWRENCE SS,4836 N PULASKI RD,0,0,0
COMED SS626 SCHOOL ST SS,6405 W SCHOOL ST,0,0,0
COMED SS674,4664 W IRVING PARK RD,0,0,0
COMED SS679 BESLEY CT,1814 N ELSTON AVE,0,0,0
COMED SS691,1838 W WAVELAND ST,0,0,0
COMED SS741,3858 S LOWE AVE,0,0,0
COMED SS801,751 W 82ND ST,0,0,0
COMED SS821 MARQUETTE PARK,6541 S KEDZIE AVE,0,0,0
COMED SS851,4722 S WASHTENAW AVE,0,0,0
COMED SS855,2709 E 76TH PLACE,0,0,0
COMED SS860,820 E 50TH PL,0,0,0
COMED SS871 56TH ST SS,5549 S LOWE AVE,0,0,0
COMED SS895,5125 S MARSHFIELD AVE,0,0,0
COMED TDC840 QUARRY,1132 W 25TH ST,0,0,0
COMED TSS114 NORTHWEST SS,3501 N. CALIFORNIA AVENUE,0,0,0
COMED TSS148,1110 N BRANCH ST,0,0,0
COMED TSS35,1141 W DIVERSEY,0,0,0
COMED TSS37 NATOMA,6600 W GRAND AVE,0,0,0
COMED TSS45,828 S. JEFFERSON STREET,0,0,0
COMED TSS54 CLYBOURN,1750 N KINGSBURY ST-B,0,0,0
COMED TSS67 CONGRESS,2557 W CONGRESS PKWY,0,0,0
COMED TSS82 CROSBY,1180 N CROSBY ST,0,0,0
COMED TSS84 ROSEHILL SUBSTATION,5801 N RAVENSWOOD AVE,0,0,0
COMED TSS853,810 E 62ND ST,0,0,0
COMED VAULT NC1742,28 W RANDOLPH ST,0,0,0
COMED VAULT NC720,1 N DEARBORN ST,0,0,0
COMED WEST TECH,3400 S PULASKI,0,0,0
COMED-MANHOLE,39TH & DAMEN,0,0,0
COMMED - SOUTH HEADQUARTERS,7601 S. LAWNDALE AVE.,0,0,0
COMMERCIAL FORGED PRODUCTS,5757 WEST 65TH STREET,0,0,0
COMMONWEALTH EDISON,333 S LASALLE ST,0,0,0
COMMONWEALTH EDISON CO,1415 W 35TH ST,0,0,0
COMMUNITY GAS BP FOOD MART,150 W 127TH,0,0,0
COMPACT CARS,5915 W GRAND AVE,0,0,0
COMPASS MANAGEMENT AND LEASING,401 NORTH MICHIGAN AVENUE,0,0,0
COMPLETE CAR CTR INC,4401 W 55TH ST,0,0,0
CONCEPT LABORATORIES,1400 W WABANSIA,0,0,0
CONCORDANCE HEALTHCARE SOLUTIONS,2545 W 24TH ST,0,0,0
CONCORDIA LUTHERAN CHURCH,3318 N WHIPPLE,0,0,0
CONNELLY-GPM INC,3154 S CALIFORNIA AVE,0,0,0
CONRAIL 51ST ST PARTS,506 W 51ST ST,0,0,0
CONSOLIDATED PRINTING C X,5835 W BELMONT AVE,0,0,0
CONTINENTAL CHEMISTE CORP,2256 OGDEN AVE,0,0,0
CONTINENTAL COATINGS INC,1701 E 122ND ST,0,0,0
CONTINENTAL PAINTING & DECORAT,2255 S WABASH AVE,0,0,0
CONTRACT I-21-4737 RAILROAD RETAINING WALL CONSTRUCTION,IRVING PARK ROAD NEAR TAFT AVENUE,0,0,0
COOK CO JAIL S CAMPUS,3026 S CALIFORNIA,0,0,0
COOK CO MEDICAL EXAMINERS OFFICE,2121 W HARRISON,0,0,0
COOK COUNTY C/O MB REAL ESTATE,69 WEST WASHINGTON ST,0,0,0
COOK COUNTY DEPT OF FACILITIES,2323 ROCKWELL ST,0,0,0
COOK COUNTY FACILITIES,4545 W CERMAK,0,0,0
COOK COUNTY HOSPITAL POWER HOUSE,1835 WEST HARRISON STREET,0,0,0
COOK COUNTY HWY DEPT,N ASHLAND AVE ST NORTH BRANCH,0,0,0
COOK COUNTY POWER HOUSE,3045 S. SACRAMENTO AVENUE,0,0,0
COOK DUPAGE TRANSPORT,1200 W FULTON MARKET,0,0,0
COOK ELEM SCHOOL,8150 S BISHOP ST,0,0,0
COOL HEAT,2859 W MONTROSE,0,0,0
COOPER BUSSMANN CHICAGO,7300 W. WILSON AVE.,0,0,0
CORESITE,427 LASALLE ST,0,0,0
CORESITE,1432 S CLINTON ST,1,1,0
CORNELL COMMON CONDO ASSN,5462 S CORNELL ST,0,0,0
CORNELL SQUARE PARK,1809 W 50TH ST,0,0,0
CORNERSTONE CLEANERS,451 W NORTH,0,0,0
CORRUGATED METALS,4800 S HOYNE,0,0,0
COSMETIC AUTO TRIM & GLASS,6166 NORTHWEST HWY,0,0,0
COSMETIC AUTO TRIM AND GLASS,6166 N NORTHWEST HWY,0,0,0
COST PLUS 6076,1623 N SHEFFIELD AVE-B,0,0,0
COST PLUS 6336,1101 S CANAL ST,0,0,0
COSTCO WHOLESALE 1107,1430 S ASHLAND AVE,0,0,0
COSTCO WHOLESALE CORP,2746 N CLYBOURN AVE,0,0,0
COTTER AND CO,2740 CLYBORN AVE B,0,0,0
COVERALL LAUNDRY SVC INC,3715 N ASHLAND AVE,0,0,0
COWHEY MATERIALS AND FUEL,5310 W AINSLIE ST,0,0,0
COX METALS,12100 S STONY ISLAND,0,0,0
CPS WAREHOUSE,4720 S ST LOUIS,0,1,0
CRAFT DIE CASTING CORP,1831 N LOREL ST,0,0,0
CRAFTSMAN PLATING & TINNING,1250 W MELROSE,0,0,0
CRAFTSMAN PLATING & TINNING CORP,1239 WEST SCHOOL STREET,0,0,0
CRASH CHAMPIONS,2031 S WABASH AVE #1708,0,0,0
CRASH CHAMPIONS,2232 S WABASH AVE,0,0,0
CRASH CHAMPIONS,5430 W MONTROSE AVE,0,0,0
CRASH CHAMPIONS,870 W DIVISION ST,0,0,0
CRASH CHAMPIONS,1630 N KINGSBURY ST,0,0,0
CRASH CHAMPIONS LLC,807 W DIVISION ST,0,0,0
CRASH CHAMPIONS LLC,2738 W FULTON ST,0,0,0
CRASH CHAMPIONS MILWAUKEE AVE,3545 N MILWAUKEE AVE,0,0,0
CRAWFORD BRAKE,4118 PULASKI RD,0,0,0
CRAWFORD ELECTRIC GENERATING STATION,3501 SOUTH PULASKI ROAD,0,0,2
CRAWFORD LABORATORIES,4165 S. EMERALD AVE.,0,0,0
CRAWFORD STEEL EXTENSION,3141 W 36TH PLACE,0,0,0
CRCC SIFANG AMERICA INC,13535 S TORRENCE STE C,0,0,0
CREATIVE METALS GROUP,3939 S KARLOV AVE,0,0,0
CREATIVE WOOD DESIGN,2336 WOLFRAM,0,0,0
CRESCENT PLATING WORKS INC,3650 WEST ARMITAGE AVENUE,9,0,0
"CRISON, LLC",2201 WEST CAMPBELL PARK DRIVE,NA,1,0
CROMPTON & KNOWLES CORPORATION,2400 EAST 130TH STREET,0,0,0
CRONIMET,10602 S. BUFFALO,0,0,0
CRONIMET CORPORATION,UNKNOWN,11,1,0
CROSSROADS OF RAVENSWOOD,1614 W WILSON AVE,0,0,0
CRUZ O MATIC,3536 N KNOX AVE,0,0,0
CRYSTAL CLEANERS,4953 N DAMEN AVE,0,0,0
CSX INTERMODAL TERMINAL INC,2101 W 59TH ST,0,0,0
CTA,4645-4649 N WESTERN,0,0,0
CTA,11740 S FRONT ST,0,0,0
CTA,945 W WELLINGTON AVE,0,0,0
CTA - 98TH SHOP,9800 S STATE ST,0,0,0
CTA - GROUPING 27/RLE-021,35 W. 115TH STREET,0,0,0
CTA BELMONT STATION,945-949 W BELMONT,0,0,0
CTA FRANKLIN SUBSTATION,321 S FRANKLIN ST,0,0,0
CTA FULLERTON STATION,943-947 W FULLERTON,0,0,0
CTA GROUPING 111/RLE-120-PA,11514 S STATE ST,0,0,0
CTA KEDZIE BUS GARAGE,358 S KEDZIE AVE,0,0,0
CTA RLE MAINLINE - SEGMENT 4,360 W 111TH ST,0,0,0
CUDNER & O'CONNOR CO,4035 W KINZIE ST,0,1,0
CULINARY FOODS INC,2620 N JONES,0,0,0
CUMBERLAND CROSSING CONDOS,5555 N CUMBERLAND AVE,0,0,0
CURTIS SCHOOL-CHI. BD. OF EDUC.,32 E 115TH ST,0,0,0
CUSTOM PAINT PARLOR,3451 W 51ST ST,0,0,0
CVS PHARMACY #11410,25 E OHIO ST,0,0,0
CVS PHARMACY #11619,2628 WEST PERSHING RD,0,0,0
CVS PHARMACY #11623,3429 S KING DR,0,0,0
CVS PHARMACY #16285,7100 S CICERO AVE STE A,0,0,0
CVS PHARMACY #16361,2656 N ELSTON AVE STE A,0,0,0
CVS PHARMACY #16771,2939 W ADDISON ST STE A,0,0,0
CVS PHARMACY #16999,4433 S PULASKI RD STE A,0,0,0
CVS PHARMACY #17009,1154 S CLARK ST STE A,0,0,0
CVS PHARMACY #17042,6525 W DIVERSEY AVE STE A,0,0,0
CVS PHARMACY #17166,1940 W 33RD ST STE A,0,0,0
CVS PHARMACY #17167,2112 W PETERSON AVE STE A,0,0,0
CVS PHARMACY #17437,4466 N BROADWAY ST STE A,0,0,0
CVS PHARMACY #17591,1200 N LARRABEE ST STE A,0,0,0
CVS PHARMACY #17634,1101 W JACKSON BLVD STE A,0,0,0
CVS PHARMACY #17643,1 S STATE ST STE A,0,0,0
CVS PHARMACY #17683,2650 N CLARK ST STE A,0,0,0
CVS PHARMACY #17686,1346 E 53RD ST STE A,0,0,0
CVS PHARMACY #17698,3204 N CLARK ST STE A,0,0,0
CVS PHARMACY #17711,3300 N ASHLAND AVE STE A,0,0,0
CVS PHARMACY #17761,2434 N SACRAMENTO AVE STE A,0,0,0
CVS PHARMACY #17889,4728 W IRVING PARK RD STE A,0,0,0
CVS PHARMACY #19000,4327 S ARCHER AVE  STE P,0,0,0
CVS PHARMACY #CHI14B01,6918 W ARCHER AVE,0,0,0
CVS PHARMACY #ILCHI10B01,2335 S WENTWORTH AVE B,0,0,0
CVS PHARMACY #ILCHI11B01,3010 W 26TH ST,0,0,0
CVS PHARMACY #ILCHI12B01,4417 W DIVERSEY AVE,0,0,0
CVS PHARMACY #ILCHI13B01,3433 W MADISON ST,0,0,0
CVS PHARMACY #ILCHI1B01,1541 DEVON AVE,0,0,0
CVS PHARMACY #ILCHI2B01,4318 S STATE ST,0,0,0
CVS PHARMACY #ILCHI4B01,1715 E 95TH ST,0,0,0
CVS PHARMACY #ILCHI7B01,4848 W IRVING PARK RD,0,0,0
CVS PHARMACY #ILCHI9B01,850 W 63RD ST,0,0,0
CVS PHARMACY 0788,344 W HUBBARD ST,0,0,0
CVS PHARMACY 1054,101 N CLINTON ST,0,0,0
CVS PHARMACY 11090,678 N WELLS ST,0,0,0
CVS PHARMACY 11376,1034 W LAKE ST,0,0,0
CVS PHARMACY 1493,5205 N BROADWAY ST,0,0,0
CVS PHARMACY 2590,69 W WASHINGTON ST,12,0,0
CVS PHARMACY 2798,3951 W 103RD ST,0,0,0
CVS PHARMACY 2845,1930 W 103RD ST,0,0,0
CVS PHARMACY 2935,8712 S STONY ISLAND AVE,0,0,0
CVS PHARMACY 2981,1201 N STATE ST,0,0,0
CVS PHARMACY 3170,6417 W HIGGINS AVE,0,0,0
CVS PHARMACY 3690,1714 N SHEFFIELD,0,0,0
CVS PHARMACY 3742,121 W KINZIE ST,0,0,0
CVS PHARMACY 4061,520 S STATE ST,0,0,0
CVS PHARMACY 4781,205 N MICHIGAN ST 1ST FL,0,0,0
CVS PHARMACY 4793,1211 W ROOSEVELT RD,0,0,0
CVS PHARMACY 4979,7855 S WESTERN AVE,0,0,0
CVS PHARMACY 5001,3033 N BROADWAY,0,0,0
CVS PHARMACY 5482,3615 N CENTRAL AVE,0,0,0
CVS PHARMACY 5836,1228 E 53RD ST,0,0,0
CVS PHARMACY 5987,4800 N DAMEN,0,0,0
CVS PHARMACY 8502,6315 S PULASKI RD,0,0,0
CVS PHARMACY 8519,11055 S WESTERN AVE,0,0,0
CVS PHARMACY 8698,1165 N CLARK,0,0,0
CVS PHARMACY 8735,3940 W FULLERTON,0,0,0
CVS PHARMACY 8738,741 W 31ST ST,0,0,0
CVS PHARMACY 8739,1819 N HARLEM AVE,0,0,0
CVS PHARMACY 8740,2427 W CHICAGO AVE,0,0,0
CVS PHARMACY 8745,771 N OGDEN,0,0,0
CVS PHARMACY 8747,6150 N BROADWAY,0,0,0
CVS PHARMACY 8750,4801 N CENTRAL AVE,0,0,0
CVS PHARMACY 8751,4051 N LINCOLN,0,0,0
CVS PHARMACY 8753,3637 N SOUTHPORT,0,0,0
CVS PHARMACY 8910,205 N COLUMBUS,0,0,0
CVS PHARMACY 8980,6510 SHERIDAN RD,0,0,0
CVS PHARMACY-CHICAGO,3957 W 63RD ST,0,0,0
CW 600 W CHICAGO LLC,600 W CHICAGO AVE,0,0,0
CYGNUS CORP,340 E 138TH ST,12,1,3
CYLINDER HEAD EXPRESS,2443 N PULASKI,0,0,0
CYXTERA COMMUNICATIONS LLC CH2/CH4,350 E CERMAK,1,0,1
CZARNONSKI EXHIBIT SVC,2287 BLUE ISLAND AVE,0,0,0
D & R PRESS,329 W. 18TH ST. SUITE 406,0,0,0
D&A AUTO REPAIR,4646 S WESTERN AVE,0,0,0
D&D BODY SHOP INC,2617 W CERMAK RD,0,0,0
DAEWOO OF WINDY CITY,2233 N CICERO,0,0,0
DAILY SOUTHTOWN INC,5959 S HARLEM AVE,0,0,0
DAKKOTA INTEGRATED SYSTEMS,12525 CARONDOLET AVE,0,0,0
DAKKOTA INTERGRATED SYSTEMS,12519 S BURLEY AVE,0,0,0
DAMEN AGUSTA GAS,1949 AUGUSTA BLVD,0,0,0
DAMEN CITGO INC,7901 S DAMEN & 79TH ST,0,0,0
DAN RYAN WOODS CENTRAL FOREST PRESERVE,8389 S WESTERN AVE,0,0,0
DAN RYAN WOODS NORTH,2299 W 83RD ST,0,0,0
DANIEL LAMP CO,3611 W CERMAK,0,0,0
DANIEL R CAMERON SCHOOL,1234 N MONTICELLO,0,0,0
DANIEL WEBSTER SCHOOL,4055 W ARTHINGTON ST,0,0,0
DANIELS SHARPSMART INC,135 S LASALLE ST STE 2850,0,0,0
DANO AUTOBODY,5534 W FULLERTON,0,0,0
DART PRINTING,70 E LAKE ST,0,0,0
DARTNELL CORP.,4660 N. RAVENSWOOD AVE.,0,0,0
DARWIN ELEM SCHOOL,3116 W BELDEN AV,0,0,0
DAUBERT CHEMICAL CO.,4700 S. CENTRAL AVENUE,0,1,0
DAVID GF FARRAGUT CAREER ACAD,2345 S CHRISTIANA,0,0,0
DAVIDSON PRINTING,111 N JEFFERSON ST,0,0,0
DAVIES PLATING INC,1620 N THROOP,7,1,3
DAVIS ACADEMY,6723 S WOOD ST,0,0,0
DAVIS EARLY CHILDHOOD DEV CENTER,9101 S JEFFERY,0,0,0
DAVIS IMPERIAL CLEANERS,3325 W BRYN MAWR AVE,0,0,0
DAVIS SQUARE PARK,4430 S MARSHFIELD AVE,0,0,0
DAYTON AUTO,6843 W 60 PL,0,0,0
DBC CORP CARRS HONDA,6600 N WESTERN,0,0,0
DD NAIL SUPPLY,5919 SOUTH ARCHER AVENUE,NA,0,1
DE CANIO BUILDERS SUPPLY CO,738 N CALIFORNIA AVE,0,0,0
DE PAUL UNIVERSITY LINCOLN PARK CAMPUS,2335 N CLIFTON,0,1,0
DEARBORN WHOLESALE GROCERS INC,4040 W 40TH ST,0,1,0
DECAROY DIECASTING,3935 W SHAKESPEARE,0,0,0
DELANEY HEALD COMPANY,10555 S WESTERN AVE,0,0,0
DELTA AIRLINES INC,HANGAR 755 OHARE AIRPORT,0,0,0
DELUXE AUTO BODY & REBUILDERS,5928 S WESTERN AVE,0,0,0
DEMCO,1225 W MORSE,0,0,0
DENNYS SERVICE CENTER,8414 S KEDZIE,0,0,0
DENTAL EZ ALABAMA INC,5000 S. HALSTED ST.,0,0,0
DEPAUL UNIVERSITY CINESPACE STUDIOS,2514 W 16TH ST,0,0,0
DEPAUL UNIVERSITY LOOP CAMPUS,243 S WABASH AVE,0,0,0
DEPAUL UNIVERSITY SCHOOL OF MUSIC,2330 N HALSTED,0,0,0
DES PLAINES RIVER TRAIL - SEGMENT 3,DES PLAINES RIVER TRAIL (LAWRENCE AV-BRYN MAWR AV),0,0,0
DEVER ELEM SCHOOL,3436 N OSCEOLA AV,0,0,0
DEVON AUTO REPAIR & BODY SHOP INC,6417 N RAVENSWOOD,0,0,0
DEVON CITGO INC,1500 W DEVON,0,0,0
DEVON RIDGE SHELL,6401 N RIDGE,0,0,0
DEVON UNION 76,2225 W DEVON,0,0,0
DEWEY ACADEMY,5415 S UNION AVE,0,0,0
DHALIWAL LABS,5202 70TH PL,0,0,0
DHL,11601 W TOUHY AVE BLDG 89,0,0,0
DIAL CORP,6200 WEST 51ST STREET,0,0,0
DIAMOND AUTOMOTIVE INC,6957 W GRAND AVE,0,0,0
DIAZ MUFFLERS INC,3241 W CERMAK,0,0,0
DICK A B CO,615 W VAN BUREN,0,0,0
