NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
A FINKL & SONS CO,1355 E 93RD ST,1,2,2
A K AUTO MECHANIC & BODY SHOP INC,2515 S HALSTED,0,0,0
A OK AUTOMOTIVE INC,5809 S ARCHER,0,0,0
A PLUS (A+) STORE,4445 N. SHERIDAN ROAD,NA,1,1
A SUBURBAN AUTO WRECKING CORP,1401 W PERSHING RD,0,0,0
A TO Z AUTO SPECIALISTS INC,3525 N HARLEM AVE,0,0,0
A&A BODY WORKS,6134 W GRAND,0,0,0
A&C PLATING CO,315 N WHIPPLE ST,0,0,0
A&D IMPORT MOTORS INC,7535 W IRVING PARK RD,0,0,0
A&M AUTO REPAIR,2448 N CICERO,0,0,0
A&P AUTO COLOR INC DBA MAACO AUTO PAINT & COLLISION,6740 S WESTERN AVE,0,0,0
A&R AUTO REBUILDERS INC,1110 E 95TH ST,0,0,0
A&R BODYWORKS ON GRAND,6134 W GRAND,0,0,0
A&R CHROME PLATING,4556 W 62ND ST,0,0,0
A-KORN ROLLER INC,3545 SOUTH MORGAN STREET,0,0,0
A-KORN ROLLER INC,3604 S. MORGAN ST.,0,0,0
A/R SPARKS AUTOMOTIVE,5317 S ARCHER AVE,0,0,0
AA CONCOURSE L 3-GATE EXPANSION PACKAGE 5,10510 W. ZEMKE ROAD,0,0,0
AA MIDWEST,4050 S WENTWORTH,0,0,0
AAA COOPER,4300 W 72ND ST,0,0,0
AAA SAW & TOOL SERVICE,1401-07 WASHINGTON BLVD,0,0,0
AAAA AUTO CARE INC,4919 DIVERSEY AVE,0,1,0
AAIM ASHLAND LLC,7520 S ASHLAND,0,0,0
AARONS MACHY CO INC,170 N HALSTED ST,0,0,0
AB MARATHON,5550 N ASHLAND AVE,0,0,0
ABA NORGETOWN,437 E 103RD ST,0,0,0
ABC RAIL CORPORATION,4544 WEST 26TH STREET,0,0,0
ABE IZQUIERDO MARKETING,213 W INSTITUTE PL STE 208,0,0,0
ABERDEEN CITGO INC,1053 W 103RD ST,0,0,0
ABF FREIGHT SYSTEMS INC,5300 W 47TH ST,0,0,1
ABITUA SEWER WATER & PLUMBING,MONTROSE AVE & SPINE RD,0,0,0
ABITUA SEWER WATER & PLUMBING INC,TAFT AVE & IRVING PARK RD,0,0,0
ABLE ELECTRO-POLISHING CO,2001 SOUTH KILBOURN AVENUE,0,2,0
ABRA AUTO BODY & GLASS,1014 W VAN BUREN ST,0,0,0
ABRA AUTO BODY & GLASS,3119 W COLUMBUS AVE,0,0,0
"ABRAHAM, JIM",1345 W THORNDALE AVE,0,0,0
ABU HASAN GAS & MINI MART DBA VP RACING FUELS,8721 S COTTAGE GROVE AVE,0,0,0
ACACIA PARK CEMETERY & MAUSOLEUM,7800 W IRVING PARK RD,0,0,0
ACCORD CARTON CO,940 W 94TH ST,0,0,0
ACCU LABS INC,4831 S WHIPPLE ST,10,1,4
ACCURATE AUTO CARSTAR,5424 W MONTROSE AVE,0,0,0
ACCURATE CARBURETOR REBUILDERS,2100 W 35TH ST,0,0,0
ACCUTECH INC,444 W 26TH ST,0,0,0
ACE OF SPRAY,2611 W PETERSON AVE,0,0,0
ACE PLATING CO,3433 W 48TH PL,0,1,0
ACE SANDBLAST,4601 ROSCOE,0,0,0
"ACHIEVOR TIRE, L.P.",2000 N CLYBOURN AVE,0,0,0
ACID PRODUCTS COMPANY INC.,600 WEST 41ST STREET,0,0,0
ACL INC,840 W 49TH PLACE,0,0,0
ACORN TIRE,6200 N LINCOLN AVE,0,0,0
ACTION ADVERTIZING INC,2420 S MICHIGAN AVE,0,0,0
ACTION AUTO REBUILDERS OF CHICAGO INC,11934 S HALSTED,0,0,0
ACTION BUMPER,2425 WEST 14TH ST,0,0,0
ACTION DISPOSAL,13434 S VERNON,0,0,0
ACTION ELECTRIC SALES,3900 N ROCKWELL ST,0,0,0
ACTIVE GRAPHICS,1532 W FULTON,0,0,0
ACURA INC,1000 W CONGRESS PKWY,0,0,0
ADA PARK,11250 S ADA ST,0,0,0
ADAMS PLASTICS LP,501 N HOMAN AVE,0,0,0
ADDAMS SCHOOL-CHGO BD ED,10810 AVENUE H,0,0,0
ADDISON & AUSTIN CITGO,6000 W ADDISON,0,0,0
ADDISON MINI MART & GAS,3700 W ADDISON ST,0,0,0
ADDISON OIL CO DBA ADDISON LARAMIE CITGO,5200 W ADDISON,0,0,0
ADELLO BIOLOGICS LLC,3440 S DEARBORN,0,0,0
ADELMANS RESOURCE SOLUTIONS,3033 E 106TH ST,0,1,0
ADLER PLANETARIUM,1300 S LAKE SHORE DR,0,0,0
ADM,3700 N TALMAN,0,0,0
ADM - GLOBAL HEADQUARTERS,77 W WACKER DRIVE #4600,0,0,0
ADM MILLING CO,1300 W. CARROLL AVE.,0,0,0
"ADP PALLET, INC.",7300 S. KOSTNER AVE.,1,1,0
ADVANCE AUTO PARTS # 103272,5815-5819 WEST 63RD STREET,0,0,0
ADVANCE AUTO PARTS 8917,4301 S ASHLAND AVE,0,0,0
ADVANCE ENAMELING CO,5849 S. BISHOP ST.,0,0,0
ADVANCE EQUIPMENT MFG CO,4615 W CHICAGO AVE,0,0,0
ADVANCE WORLD TRADE,4321 N KNOX AVE,0,0,0
ADVANCED AUTO BODY INC,2541 N CICERO AVE,0,0,0
ADVANCED AUTO SERVICE,5401 N KEDZIE AVE,0,0,0
ADVANCED MEDICAL IMAGING CTR,111 N WABASH STE 620,0,0,0
ADVANCED SECURITY GROUP INC,1624 S CLINTON ST,0,0,0
ADVANCED WINDOWS CORP,4935 W LEMOYNE AVE,0,0,0
ADVOCATE ILLINOIS MASONIC HOSPITAL,946 W WELLINGTON AVE,0,0,0
ADVOCATE NEW TRINITY HOSPITAL,8080 S DUSABLE LAKE SHORE DRIVE,0,0,0
ADVOCATE TRINITY HOSPITAL,2320 EAST 93RD STREET,0,1,0
AERO OHARE EXPRESS,512 EXPRESS CENTER DR,0,0,0
AERO PLATING WORKS,1860 N ELSTON,12,1,0
AETNA ENGINEERING WORKS INC,12001S CALUMET,0,0,0
