LocationName,Measure,Data_Value,Geolocation
17031063301,Current Asthma,9.8,POINT (-87.6430239 41.9345407)
17031081000,Current Asthma,9.8,POINT (-87.6321089 41.9002655)
17031040401,Current Asthma,9.3,POINT (-87.6860816 41.9720667)
17031161100,COPD,3.6,POINT (-87.738155 41.94988)
17031161300,Current Asthma,9.3,POINT (-87.7310023 41.9426994)
17031100700,COPD,6,POINT (-87.7976295 41.9721235)
17031170400,Current Asthma,9.3,POINT (-87.8127107 41.9489081)
17031020601,COPD,7.2,POINT (-87.7018025 42.0008746)
17031032100,Current Asthma,9.7,POINT (-87.6530179 41.9581538)
17031081201,COPD,3.4,POINT (-87.626212 41.8991538)
17031160601,Current Asthma,8.9,POINT (-87.7032936 41.959398)
17031080300,COPD,2.1,POINT (-87.6357987 41.9074899)
17031150600,COPD,4.8,POINT (-87.7717578 41.9494731)
17031151001,COPD,5,POINT (-87.7543527 41.9423826)
17031080201,COPD,3.9,POINT (-87.6310051 41.9094976)
17031062600,COPD,2.1,POINT (-87.6709843 41.9359751)
17031063400,Current Asthma,9.1,POINT (-87.64673 41.9346596)
17031010300,COPD,5.8,POINT (-87.6665393 42.0159431)
17031150501,COPD,4.4,POINT (-87.7819639 41.9644762)
17031140500,Current Asthma,8.9,POINT (-87.7318319 41.9653619)
17031030500,Current Asthma,9,POINT (-87.6649359 41.987226)
17031070300,Current Asthma,9,POINT (-87.6513103 41.9290462)
17031130100,Current Asthma,8.6,POINT (-87.7208089 41.991104)
17031080400,COPD,6.2,POINT (-87.6409015 41.9074123)
17031062800,Current Asthma,9,POINT (-87.6612648 41.9361586)
17031100100,COPD,5,POINT (-87.7830136 41.989584)
17031030604,COPD,4.8,POINT (-87.6524546 41.9858707)
17031150502,COPD,5.2,POINT (-87.7818414 41.9567784)
17031050600,COPD,2.4,POINT (-87.6761824 41.9505477)
17031010201,Current Asthma,11.2,POINT (-87.6801484 42.0160077)
17031040401,COPD,3.5,POINT (-87.6860816 41.9720667)
17031061902,Current Asthma,9.1,POINT (-87.6390645 41.9466985)
17031160602,COPD,3.9,POINT (-87.7004635 41.9566814)
17031062400,COPD,2.8,POINT (-87.6662882 41.9415556)
17031051300,COPD,2.1,POINT (-87.6758395 41.9359971)
17031071000,Current Asthma,10,POINT (-87.6559114 41.9217011)
17031070700,COPD,2.7,POINT (-87.6741038 41.9306521)
17031160501,COPD,4.8,POINT (-87.7129732 41.9592098)
17031070500,Current Asthma,8.9,POINT (-87.6608922 41.9289455)
17031063200,Current Asthma,8.6,POINT (-87.6346726 41.9389231)
17031081800,COPD,2,POINT (-87.6391895 41.8933243)
17031071200,COPD,2.6,POINT (-87.6462106 41.9218547)
17031040100,Current Asthma,9.2,POINT (-87.6828856 41.9856223)
17031020901,Current Asthma,9.8,POINT (-87.6854736 41.9943922)
17031100600,COPD,6.2,POINT (-87.7974007 41.9792049)
