COMPLAINT_TYPE,RESOLUTION,LATITUDE,LONGITUDE
Air Pollution Work Order,Alleged violation not found,41.78172195811,-87.72543480054
Air Pollution Work Order,Resolved,41.9661406938,-87.71070180324
Construction and Demolition,Alleged violation not found,41.91399920931,-87.74586369218
Air Pollution Work Order,Resolved,41.78291558791,-87.77549699873
Permits Issued by DOE Work Order,NA,41.938836492,-87.73820073969
Air Pollution Work Order,Resolved,41.94373256813,-87.74290449679
Air Pollution Work Order,Resolved,41.78379702735,-87.69459475851
Air Pollution Work Order,Resolved,41.7770129081,-87.6947048136
Illegal Dumping Work Order,NA,41.77930028946,-87.79091417793
Toxics Hazardous Materials Work Order,NA,41.75236146489,-87.58533656276
Toxics Hazardous Materials Work Order,Alleged violation not found,41.93099619878,-87.66244603802
Air Pollution Work Order,Alleged violation not found,41.95796528551,-87.64915911227
Air Pollution Work Order,NA,41.8201242277,-87.61830329371
Construction and Demolition,Resolved,41.90826594872,-87.73202049848
Air Pollution Work Order,Alleged violation not found,41.86403563981,-87.61929706919
Air Pollution Work Order,Alleged violation not found,41.71722872268,-87.54977273011
Air Pollution Work Order,Alleged violation unfounded,41.84148141665,-87.6756205934
Construction and Demolition,Complaint Valid,41.89665846498,-87.7739262735
Construction and Demolition,Resolved,41.9227001964,-87.64294215957
Construction and Demolition,Refer to Building Dept,41.9229578312,-87.70924919891
Construction and Demolition,Resolved,41.95698581342,-87.65476133111
Air Pollution Work Order,Resolved,41.93191768434,-87.72554475474
Air Pollution Work Order,Resolved,41.83691778809,-87.71717477757
Noise Complaint,Complaint Valid,41.92756326222,-87.66808320934
Air Pollution Work Order,NA,41.80759538782,-87.69037006059
Illegal Dumping Work Order,Resolved,41.79804769071,-87.65240056263
Air Pollution Work Order,Resolved,41.81048851892,-87.72720604194
Construction and Demolition,Complaint Valid,41.92339612674,-87.68831588447
Air Pollution Work Order,Alleged violation not found,41.75091396559,-87.62152996329
Air Pollution Work Order,Resolved,41.92846319775,-87.76964921709
Air Pollution Work Order,Alleged violation not found,41.93467398703,-87.66145603823
Air Pollution Work Order,Resolved,41.84137792122,-87.71119519564
Construction and Demolition,Alleged violation not found,41.91656479409,-87.68750554125
Air Pollution Work Order,Alleged violation not found,41.92744546402,-87.73741303808
Air Pollution Work Order,Resolved,41.88670565277,-87.64140961743
Air Pollution Work Order,Resolved,41.83994283898,-87.71848099194
Air Pollution Work Order,Resolved,41.72264174185,-87.55229726873
Illegal Dumping Work Order,Alleged violation not found,41.81795055396,-87.63139488404
Air Pollution Work Order,Alleged violation not found,41.82487574264,-87.67131259092
Toxics Hazardous Materials Work Order,Alleged violation unfounded,41.76226377956,-87.74024548712
Air Pollution Work Order,Alleged violation unfounded,41.73617154132,-87.61789736668
Air Pollution Work Order,Alleged violation not found,41.77958898442,-87.71462107837
Noise Complaint,Complaint Valid,41.98979314858,-87.65695310431
Air Pollution Work Order,NA,41.76837139632,-87.58019104731
Illegal Dumping Work Order,Complaint Valid,41.99721742394,-87.7633081267
Noise Complaint,Alleged violation not found,41.93419516579,-87.64140393809
Air Pollution Work Order,Resolved,41.95686997628,-87.70825405023
Air Pollution Work Order,Complaint Valid,41.76184806356,-87.74167064735
Noise Complaint,Resolved,41.96975372057,-87.6894034367
Noise Complaint,Resolved,41.96975372057,-87.6894034367
Air Pollution Work Order,Alleged violation not found,41.88684101472,-87.64004347734
Permits Issued by DOE Work Order,NA,41.9725673298,-87.65262650497
Air Pollution Work Order,Referred to another agency,41.88072322278,-87.62392297215
Noise Complaint,Alleged violation not found,41.89087894905,-87.63531345048
Air Pollution Work Order,Alleged violation not found,41.84655209334,-87.7076838987
Air Pollution Work Order,Resolved,41.84699099769,-87.67555861124
Air Pollution Work Order,Alleged violation not found,41.77755513586,-87.73113100529
